
> sugarmimo-frontend@0.1.0 dev
> next dev

▲ Next.js 16.2.9 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.15.4:3000
- Environments: .env.local
✓ Ready in 569ms

 GET /api/chat/conversations 200 in 114ms (next.js: 5ms, application-code: 108ms)
 GET /api/chat/conversations 200 in 114ms (next.js: 6ms, application-code: 108ms)
 GET /api/chat/conversations 200 in 125ms (next.js: 5ms, application-code: 121ms)
 GET /api/chat/conversations 200 in 121ms (next.js: 6ms, application-code: 114ms)
 GET /api/chat/conversations 200 in 112ms (next.js: 5ms, application-code: 107ms)
 GET /api/chat/conversations 200 in 114ms (next.js: 5ms, application-code: 109ms)
 GET /api/chat/conversations 200 in 125ms (next.js: 4ms, application-code: 121ms)
 GET /api/chat/conversations 200 in 111ms (next.js: 6ms, application-code: 105ms)
 GET /api/chat/conversations 200 in 122ms (next.js: 5ms, application-code: 117ms)
 GET /api/chat/conversations 200 in 117ms (next.js: 5ms, application-code: 112ms)
 GET /api/chat/conversations 200 in 121ms (next.js: 5ms, application-code: 116ms)
 GET /api/chat/conversations 200 in 124ms (next.js: 5ms, application-code: 119ms)
 GET /api/chat/conversations 200 in 123ms (next.js: 5ms, application-code: 118ms)
 GET /api/chat/conversations 200 in 125ms (next.js: 6ms, application-code: 119ms)
 GET /api/chat/conversations 200 in 110ms (next.js: 5ms, application-code: 106ms)
 GET /api/chat/conversations 200 in 123ms (next.js: 4ms, application-code: 118ms)
 GET /api/chat/conversations 200 in 124ms (next.js: 5ms, application-code: 120ms)
 GET /api/chat/conversations 200 in 108ms (next.js: 4ms, application-code: 104ms)
 GET /api/chat/conversations 200 in 127ms (next.js: 5ms, application-code: 122ms)
 GET /api/chat/conversations 200 in 122ms (next.js: 5ms, application-code: 117ms)
 GET /api/chat/conversations 200 in 123ms (next.js: 5ms, application-code: 118ms)
 GET /api/chat/conversations 200 in 124ms (next.js: 6ms, application-code: 118ms)
 GET /api/chat/conversations 200 in 122ms (next.js: 5ms, application-code: 117ms)
 GET /api/chat/conversations 200 in 126ms (next.js: 5ms, application-code: 121ms)
 GET /api/chat/conversations 200 in 107ms (next.js: 5ms, application-code: 102ms)
 GET /api/chat/conversations 200 in 122ms (next.js: 4ms, application-code: 118ms)
 GET /api/chat/conversations 200 in 114ms (next.js: 5ms, application-code: 109ms)
 GET /api/chat/conversations 200 in 124ms (next.js: 5ms, application-code: 119ms)
 GET /api/chat/conversations 200 in 120ms (next.js: 4ms, application-code: 116ms)
 GET /api/chat/conversations 200 in 127ms (next.js: 5ms, application-code: 122ms)
 GET /api/chat/conversations 200 in 124ms (next.js: 4ms, application-code: 120ms)
 GET /api/chat/conversations 200 in 110ms (next.js: 5ms, application-code: 105ms)
 GET /api/chat/conversations 200 in 122ms (next.js: 6ms, application-code: 116ms)
 GET /api/chat/conversations 200 in 127ms (next.js: 4ms, application-code: 124ms)
 GET /api/chat/conversations 200 in 111ms (next.js: 5ms, application-code: 106ms)
 GET /api/chat/conversations 200 in 123ms (next.js: 4ms, application-code: 119ms)
 GET /api/chat/conversations 200 in 125ms (next.js: 4ms, application-code: 122ms)
 GET /api/chat/conversations 200 in 127ms (next.js: 5ms, application-code: 122ms)
 GET /api/chat/conversations 200 in 125ms (next.js: 5ms, application-code: 120ms)
 GET /api/chat/conversations 200 in 109ms (next.js: 4ms, application-code: 106ms)
 GET /api/chat/conversations 200 in 110ms (next.js: 3ms, application-code: 106ms)
 GET /api/chat/conversations 200 in 123ms (next.js: 4ms, application-code: 119ms)
 GET /api/chat/conversations 200 in 123ms (next.js: 3ms, application-code: 120ms)
 GET /api/chat/conversations 200 in 123ms (next.js: 4ms, application-code: 119ms)
 GET /api/chat/conversations 200 in 124ms (next.js: 4ms, application-code: 120ms)
 GET /api/chat/conversations 200 in 123ms (next.js: 4ms, application-code: 119ms)
 GET /api/chat/conversations 200 in 124ms (next.js: 4ms, application-code: 121ms)
 GET /api/chat/conversations 200 in 119ms (next.js: 4ms, application-code: 116ms)
 GET /api/chat/conversations 200 in 122ms (next.js: 4ms, application-code: 118ms)
 GET /api/chat/conversations 200 in 121ms (next.js: 4ms, application-code: 117ms)
 GET /api/chat/conversations 200 in 111ms (next.js: 4ms, application-code: 107ms)
 GET /api/chat/conversations 200 in 123ms (next.js: 5ms, application-code: 119ms)
 GET /api/chat/conversations 200 in 111ms (next.js: 4ms, application-code: 107ms)
 GET /api/chat/conversations 200 in 110ms (next.js: 5ms, application-code: 105ms)
 GET /api/chat/conversations 200 in 124ms (next.js: 5ms, application-code: 119ms)
 GET /api/chat/conversations 200 in 123ms (next.js: 4ms, application-code: 118ms)
 GET /api/chat/conversations 200 in 122ms (next.js: 6ms, application-code: 117ms)
 GET /api/chat/conversations 200 in 122ms (next.js: 5ms, application-code: 117ms)
 GET /api/chat/conversations 200 in 124ms (next.js: 4ms, application-code: 119ms)
 GET /api/chat/conversations 200 in 111ms (next.js: 4ms, application-code: 107ms)
 GET /api/chat/conversations 200 in 110ms (next.js: 5ms, application-code: 105ms)
 GET /api/chat/conversations 200 in 120ms (next.js: 4ms, application-code: 116ms)
 GET /api/chat/conversations 200 in 126ms (next.js: 5ms, application-code: 121ms)
 GET /api/chat/conversations 200 in 111ms (next.js: 5ms, application-code: 106ms)
 GET /api/chat/conversations 200 in 128ms (next.js: 5ms, application-code: 123ms)
 GET /api/chat/conversations 200 in 126ms (next.js: 5ms, application-code: 121ms)
 GET /api/chat/conversations 200 in 122ms (next.js: 4ms, application-code: 117ms)
 GET /api/chat/conversations 200 in 123ms (next.js: 5ms, application-code: 118ms)
 GET /api/chat/conversations 200 in 123ms (next.js: 5ms, application-code: 119ms)
 GET /api/chat/conversations 200 in 113ms (next.js: 5ms, application-code: 108ms)
 GET /api/chat/conversations 200 in 128ms (next.js: 6ms, application-code: 122ms)
 GET /api/chat/conversations 200 in 131ms (next.js: 4ms, application-code: 126ms)
 GET /api/chat/conversations 200 in 124ms (next.js: 4ms, application-code: 119ms)
 GET /api/chat/conversations 200 in 109ms (next.js: 4ms, application-code: 105ms)
 GET /api/chat/conversations 200 in 117ms (next.js: 6ms, application-code: 112ms)
 GET /api/chat/conversations 200 in 124ms (next.js: 4ms, application-code: 120ms)
 GET /api/chat/conversations 200 in 109ms (next.js: 5ms, application-code: 104ms)
 GET /api/chat/conversations 200 in 125ms (next.js: 4ms, application-code: 122ms)
 GET /api/chat/conversations 200 in 120ms (next.js: 4ms, application-code: 115ms)
 GET /api/chat/conversations 200 in 123ms (next.js: 4ms, application-code: 119ms)
 GET /api/chat/conversations 200 in 107ms (next.js: 3ms, application-code: 104ms)
 GET /api/chat/conversations 200 in 108ms (next.js: 3ms, application-code: 105ms)
 GET /api/chat/conversations 200 in 113ms (next.js: 5ms, application-code: 108ms)
 GET /api/chat/conversations 200 in 123ms (next.js: 4ms, application-code: 119ms)
 GET /api/chat/conversations 200 in 123ms (next.js: 4ms, application-code: 118ms)
 GET /api/chat/conversations 200 in 122ms (next.js: 4ms, application-code: 119ms)
 GET /api/chat/conversations 200 in 112ms (next.js: 5ms, application-code: 106ms)
 GET /api/chat/conversations 200 in 125ms (next.js: 4ms, application-code: 121ms)
 GET /api/chat/conversations 200 in 111ms (next.js: 5ms, application-code: 106ms)
 GET /api/chat/conversations 200 in 121ms (next.js: 3ms, application-code: 118ms)
 GET /api/chat/conversations 200 in 125ms (next.js: 5ms, application-code: 120ms)
 GET /api/chat/conversations 200 in 123ms (next.js: 4ms, application-code: 120ms)
 GET /api/chat/conversations 200 in 111ms (next.js: 5ms, application-code: 106ms)
 GET /api/chat/conversations 200 in 111ms (next.js: 4ms, application-code: 107ms)
 GET /api/chat/conversations 200 in 110ms (next.js: 4ms, application-code: 106ms)
 GET /api/chat/conversations 200 in 122ms (next.js: 4ms, application-code: 118ms)
 GET /api/chat/conversations 200 in 111ms (next.js: 5ms, application-code: 106ms)
 GET /api/chat/conversations 200 in 125ms (next.js: 3ms, application-code: 122ms)
 GET /api/chat/conversations 200 in 110ms (next.js: 5ms, application-code: 105ms)
 GET /api/chat/conversations 200 in 124ms (next.js: 5ms, application-code: 119ms)
 GET /api/chat/conversations 200 in 120ms (next.js: 5ms, application-code: 115ms)
 GET /api/chat/conversations 200 in 125ms (next.js: 4ms, application-code: 121ms)
 GET /api/chat/conversations 200 in 115ms (next.js: 5ms, application-code: 110ms)
 GET /api/chat/conversations 200 in 123ms (next.js: 4ms, application-code: 119ms)
 GET /api/chat/conversations 200 in 109ms (next.js: 4ms, application-code: 104ms)
 GET /api/chat/conversations 200 in 125ms (next.js: 5ms, application-code: 119ms)
 GET /api/chat/conversations 200 in 123ms (next.js: 5ms, application-code: 118ms)
 GET /api/chat/conversations 200 in 125ms (next.js: 5ms, application-code: 119ms)
 GET /api/chat/conversations 200 in 107ms (next.js: 5ms, application-code: 103ms)
 GET /api/chat/conversations 200 in 124ms (next.js: 4ms, application-code: 120ms)
 GET / 200 in 277ms (next.js: 13ms, application-code: 264ms)
 GET /wallpaper-marble.jpg 404 in 148ms (next.js: 13ms, application-code: 135ms)
 GET / 200 in 159ms (next.js: 9ms, application-code: 150ms)
 GET /wallpaper-marble.jpg 404 in 131ms (next.js: 15ms, application-code: 116ms)
✓ Compiled in 559ms
[?25h
